,v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,tcs37,tcs38,tcs39,tcs40,tcs41,tcs42,tc43,tc44,tc45,tc46,tc47,tc48,tc49,tc50,tc51,tc52,tc53,dv54,ae55,ae56,ae57,ae58,ae59,ae60,ae61,ae62,ae63,ae64,ae65,ae66,ae67,ae68,d69,d70
1854,0.0,40093.83,100.0,0.0,0.0,63740000.0,0.0,0.0,0.0,9.0,709.0,6.0,0.0,60.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,771171.34,11135209.858,1.0,593.0,0.6993232777349134,0.0,100.0,0.0,0.0,0.0,69,30.0,1.0,30.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2146,0.0,1402082.61,17.0,83.0,9.0,14416293.67,0.0,0.0,0.0,23.0,671.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105000.0,0.0,0.0,1.0,13417.689999999999,10302807.16,0.0,241.0,-0.9809822471504641,0.0,0.0,1.0,0.0,100.0,199,30.0,154.0,30.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
647,0.0,0.0,100.0,0.0,0.0,100146.94,0.0,0.0,0.0,4.0,734.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,-0.3600000000000003,0.0,0.0,0.0,0.0,0.0,1,31.0,-3.0,31.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2268,0.0,494076.1,100.0,0.0,3.0,35281651.25,0.0,0.0,8000000.0,6.0,765.0,6.0,1695183.53,2784.0,0.0,0.0,2784.0,6.0,50000.0,282633.79000000004,300000.0,1.0,5.0,252906.0,18881681.737,14.0,219.0,-0.968984925284011,0.0,100.0,6.0,0.0,100.0,481,28.0,121.0,28.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2252,0.0,125673.41,100.0,0.0,0.0,283484419.52,10748109.82,0.0,0.0,29.0,882.0,6.0,283484419.52,0.0,0.0,0.0,0.0,0.0,100847.83,0.0,0.0,0.0,0.0,95766539.304,343828.31000000006,0.0,11889.0,-0.8859417966024803,0.0,0.0,0.0,0.0,0.0,1013,31.0,1.0,31.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2796,0.0,1652236.21,100.0,0.0,7.0,19299088.82,375390.7,0.0,0.0,22.0,597.0,6.0,365738.43,0.0,0.0,1970.0,1970.0,0.0,0.0,0.0,0.0,0.0,0.0,389764.7,35601.6,0.0,0.0,3.2871423333333354,0.0,100.0,0.0,0.0,0.0,68,31.0,1.0,31.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2092,0.0,362822.45,100.0,0.0,0.0,93440650.78,25312674.26,0.0,0.0,26.0,556.0,6.0,756274.92,0.0,0.0,66631.0,0.0,0.0,0.0,294754.34,0.0,0.0,0.0,326126.85,0.0,24.0,1021.0,-1.7308173988164341,100.0,0.0,0.0,0.0,0.0,237,31.0,1.0,31.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1538,0.0,89440.84,100.0,0.0,0.0,46096.32,1734407.79,0.0,0.0,75.0,802.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,10224.92,0.0,0.0,0.0,0.0,2705283.6070000003,73872.38,14.0,191.0,3.131992480807707,0.0,0.0,0.0,0.0,0.0,290,31.0,1.0,31.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
924,0.0,6400113.2,100.0,0.0,5.0,33084267.45,0.0,0.0,0.0,24.0,803.0,6.0,415224.89,0.0,0.0,1188.0,1188.0,0.0,0.0,0.0,0.0,0.0,0.0,16292.585,15094391.059999999,0.0,613.0,-0.642603537839324,0.0,100.0,0.0,0.0,0.0,907,31.0,153.0,31.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2834,0.0,2208194.72,19.0,81.0,0.0,13897326.26,0.0,0.0,0.0,23.0,631.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105000.0,0.0,0.0,1.0,18599.124,10274418.760000002,0.0,306.0,-0.8087450945392276,0.0,0.0,1.0,0.0,100.0,290,29.0,1.0,29.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1674,0.0,16614.1,100.0,0.0,12.0,11497901.280000001,1982174.65,0.0,5977000.0,15.0,625.0,6.0,0.0,343.0,0.0,0.0,343.0,0.0,0.0,0.0,0.0,0.0,0.0,1337780.516,21392.43,3.0,18.0,0.7222222222221952,0.0,100.0,0.0,0.0,0.0,296,31.0,1.0,31.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1675,0.0,0.0,100.0,0.0,3.0,24393366.270000003,0.0,0.0,0.0,24.0,639.0,6.0,179537.31,0.0,0.0,1188.0,1188.0,0.0,0.0,0.0,0.0,0.0,0.0,116330.182,11640531.260000002,0.0,366.0,-0.7212430545878794,0.0,100.0,0.0,0.0,0.0,633,31.0,154.0,31.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2879,0.0,48968.32,100.0,0.0,0.0,631736.79,0.0,0.0,0.0,28.0,626.0,6.0,0.0,0.0,0.0,142.0,142.0,0.0,0.0,0.0,0.0,0.0,0.0,5540579.896000001,367.0,8.0,200.0,3.101303961453289,0.0,100.0,0.0,0.0,0.0,247,30.0,-3.0,30.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1347,0.0,11270.52,100.0,0.0,0.0,699208.52,0.0,0.0,0.0,28.0,629.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4794767.815000001,0.0,0.0,203.0,6.754269799629396,0.0,0.0,0.0,0.0,0.0,5,31.0,-3.0,31.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2751,0.0,0.0,100.0,0.0,0.0,12998966.52,0.0,0.0,0.0,6.0,681.0,6.0,1929056.2799999998,1.0,0.0,0.0,1.0,1.0,0.0,32633.79,4349.48,0.0,2.0,17872.32,18531537.139000002,0.0,38.0,0.054999999999999716,0.0,100.0,2.0,0.0,100.0,5,31.0,1.0,31.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
68,0.0,1050538.66,100.0,0.0,0.0,11568089.64,0.0,0.0,6732607.5,18.0,651.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,357.0,0.4979693094242066,0.0,0.0,0.0,0.0,0.0,43,31.0,1.0,31.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1617,0.0,8307.1,100.0,0.0,0.0,244994.0,0.0,0.0,154024.45,4.0,743.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,12.0,2.888312103261282,0.0,0.0,0.0,0.0,0.0,394,30.0,1.0,30.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1061,0.0,6562215.17,100.0,0.0,5.0,33084267.45,0.0,0.0,0.0,24.0,803.0,6.0,415224.89,0.0,0.0,1188.0,1188.0,0.0,0.0,0.0,0.0,0.0,0.0,16292.585,15094391.059999999,0.0,613.0,-0.642603537839324,0.0,100.0,0.0,0.0,0.0,907,31.0,153.0,31.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1124,0.0,3126836.77,0.0,98.0,39.0,921076.62,0.0,0.0,0.0,10.0,357.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,33300.0,284272.44,37505.0,1.0,17.0,68144.0,0.0,0.0,6.0,1.6362962962962984,0.0,0.0,18.0,0.0,100.0,433,31.0,62.0,31.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
305,0.0,11985459.5,78.0,22.0,0.0,36292514.51,0.0,0.0,7972827.7,24.0,778.0,6.0,264695.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27599.541999999998,17559177.12,0.0,343.0,-1.331930147645987,0.0,0.0,0.0,0.0,0.0,1029,30.0,1.0,30.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1716,0.0,0.0,100.0,0.0,15.0,1808703.05,0.0,898.45,1031077.0,19.0,343.0,6.0,14373.34,0.0,0.0,0.0,0.0,15.0,39679.41,351.64,40031.05,14.0,1.0,0.0,0.0,1.0,25.0,1.9982787474088664,0.0,0.0,15.0,100.0,0.0,14,31.0,152.0,31.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2335,0.0,18957.84,100.0,0.0,0.0,16609868.56,14839691.79,0.0,4500000.0,28.0,691.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,712.0,2.0901628664034986,0.0,0.0,0.0,0.0,0.0,533,31.0,1.0,31.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2425,0.0,62252.1,100.0,0.0,0.0,9355721.98,159210.0,0.0,0.0,15.0,644.0,6.0,0.0,675.0,0.0,0.0,675.0,1.0,91896.64,7087.08,8811.04,24.0,0.0,82900.01999999999,14121392.220000003,0.0,228.0,-0.863404942720611,0.0,100.0,24.0,100.0,0.0,533,30.0,1.0,30.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2369,0.0,8805062.08,100.0,0.0,7.0,18494200.31,412630.15,0.0,4500000.0,11.0,777.0,6.0,160785.6,0.0,0.0,0.0,0.0,0.0,0.0,604199.98,0.0,0.0,0.0,15276126.086,2616523.5800000005,0.0,18.0,6.611283903489623,0.0,0.0,0.0,0.0,0.0,536,31.0,154.0,31.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2501,0.0,156741.84,100.0,0.0,0.0,1013265.18,0.0,0.0,689792.06,9.0,673.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,34.0,-0.744829323958927,0.0,0.0,0.0,0.0,0.0,248,31.0,1.0,31.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2231,0.0,2114471.86,100.0,0.0,1.0,24538129.18,0.0,0.0,0.0,24.0,725.0,6.0,419267.51,0.0,0.0,1188.0,1188.0,0.0,0.0,0.0,0.0,0.0,0.0,101487.83200000001,10418264.15,0.0,370.0,0.3103464876915454,0.0,100.0,0.0,0.0,0.0,663,30.0,31.0,30.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2176,0.0,3289.37,100.0,0.0,0.0,88270400.87,67327.54,0.0,0.0,45.0,791.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7788.0,0.0,0.0,0.0,76277.14199999999,0.0,12.0,865.0,0.6716396624801999,0.0,0.0,0.0,0.0,0.0,206,31.0,1.0,31.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2534,0.0,136083.06,100.0,0.0,0.0,588167.8400000001,0.0,0.0,0.0,28.0,603.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5228413.762000001,367.0,8.0,200.0,4.919158027636714,0.0,0.0,0.0,0.0,0.0,186,28.0,-3.0,28.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
962,0.0,132754.16,100.0,0.0,0.0,1013265.18,0.0,0.0,689792.07,9.0,657.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,-0.8780115253039966,0.0,0.0,0.0,0.0,0.0,217,30.0,1.0,30.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1227,0.0,1672363.92,100.0,0.0,0.0,13379407.540000001,0.0,0.0,0.0,23.0,697.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105000.0,0.0,0.0,0.0,22095.714,10924574.16,0.0,265.0,-0.5764466869762255,0.0,0.0,0.0,0.0,0.0,321,31.0,1.0,31.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2454,0.0,3109155.96,100.0,0.0,2.0,15349028.07,0.0,0.0,3071719.0,23.0,600.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,111137.18,6137.18,0.0,1.0,91365.22,14111533.799999999,3.0,280.0,-1.4290216904107151,0.0,0.0,1.0,0.0,100.0,565,30.0,1.0,30.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1780,0.0,59688.6,100.0,0.0,10.0,83939505.79,70524570.06,0.0,8000000.0,15.0,315.0,6.0,6555470.739999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6175.1,0.0,0.0,511.0,-1.6307085792342495,0.0,0.0,0.0,0.0,0.0,234,30.0,31.0,30.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
286,0.0,9522706.81,100.0,0.0,7.0,18494200.31,412630.15,0.0,4500000.0,11.0,777.0,6.0,160785.6,0.0,0.0,0.0,0.0,0.0,0.0,604199.98,0.0,0.0,0.0,15276126.086,2616523.5800000005,0.0,18.0,6.611283903489623,0.0,0.0,0.0,0.0,0.0,536,31.0,154.0,31.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
354,0.0,6588173.37,100.0,0.0,5.0,27736576.679999996,0.0,0.0,0.0,24.0,795.0,6.0,544547.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22218.143,12024823.84,0.0,555.0,0.06259289505762444,0.0,0.0,0.0,0.0,0.0,846,31.0,92.0,31.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
724,0.0,0.1,0.0,100.0,0.0,302.94,0.0,0.0,0.0,15.0,641.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,555098.775,72202133.38999999,0.0,1170.0,0.09426688135511574,0.0,0.0,0.0,0.0,0.0,155,31.0,-3.0,31.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
499,0.0,27654.3,100.0,0.0,0.0,9458390.92,19137.6,0.0,0.0,27.0,607.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6771612.805,0.0,0.0,121.0,7.06109049003183,0.0,0.0,0.0,0.0,0.0,7,31.0,1.0,31.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
217,0.0,5259833.63,100.0,0.0,5.0,27254038.859999996,0.0,0.0,0.0,24.0,607.0,6.0,535384.2,0.0,0.0,1188.0,1188.0,0.0,0.0,0.0,0.0,0.0,0.0,40463.663,13761248.07,0.0,388.0,2.3500641208133493,0.0,100.0,0.0,0.0,0.0,786,31.0,32.0,31.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
122,0.0,6709971.61,100.0,0.0,5.0,26936569.639999993,0.0,0.0,0.0,24.0,797.0,6.0,469843.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22218.143,13381237.059999999,0.0,585.0,-0.7911893275870407,0.0,0.0,0.0,0.0,0.0,876,30.0,122.0,30.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2722,0.0,55427.25,100.0,0.0,0.0,26670.339999999997,0.0,0.0,0.0,11.0,757.0,6.0,0.0,0.0,1715.0,0.0,0.0,0.0,0.0,785551.87,0.0,0.0,1.0,126735.0,135065995.95999998,0.0,379.0,1.9161438660841386,100.0,0.0,1.0,0.0,100.0,408,30.0,-3.0,30.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2596,0.0,11079106.17,78.0,22.0,0.0,33626595.70999999,0.0,0.0,3972827.7,24.0,795.0,6.0,247181.79,0.0,0.0,848.0,848.0,0.0,0.0,0.0,0.0,0.0,0.0,30846.513,16134256.08,0.0,487.0,-1.2880421673919744,0.0,100.0,0.0,0.0,0.0,968,31.0,1.0,31.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
743,0.0,0.1,100.0,0.0,5.0,3866840.9599999995,0.0,0.0,0.0,14.0,615.0,6.0,0.0,139.0,9824.0,0.0,9963.0,0.0,0.0,620.77,0.0,0.0,0.0,0.0,3073519.9,0.0,41.0,-0.6133926007316859,0.0,100.0,0.0,0.0,0.0,546,31.0,92.0,31.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
486,0.0,11439944.86,78.0,22.0,0.0,33626595.70999999,0.0,0.0,3972827.7,24.0,795.0,6.0,247181.79,0.0,0.0,848.0,848.0,0.0,0.0,0.0,0.0,0.0,0.0,30846.513,16134256.08,0.0,487.0,-1.2880421673919744,0.0,100.0,0.0,0.0,0.0,968,31.0,1.0,31.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
417,0.0,0.0,0.0,100.0,0.0,2187.59,0.0,0.0,0.0,15.0,625.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,572170.5380000001,121399540.17000002,0.0,935.0,-1.8600602916659223,0.0,0.0,0.0,0.0,0.0,2,29.0,-3.0,29.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
363,0.0,2925804.64,100.0,0.0,1.0,25948921.600000005,0.0,0.0,0.0,24.0,701.0,6.0,473499.9,0.0,0.0,1188.0,1188.0,0.0,0.0,0.0,0.0,0.0,0.0,107280.975,9526795.440000001,0.0,322.0,1.76799314843396,0.0,100.0,0.0,0.0,0.0,694,31.0,62.0,31.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
886,0.0,33817.34,100.0,0.0,0.0,85023855.08,4405700.0,0.0,6240000.0,17.0,742.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,367251.42299999995,22654910.558000002,16.0,1020.0,0.7689387018597142,0.0,0.0,0.0,0.0,0.0,252,31.0,1.0,31.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,31741.39,0.0,0.0,0.0,0.0,18561268.793,0.0,0.0,1395.0,6.901031357953409,100.0,0.0,0.0,0.0,0.0,24,-3.0,-3.0,-3.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
